no,no_bam,situs,poktan,desa,bast
199,199/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104769/empty,Barokah,Glinggang,7375000
200,200/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104770/empty,Masdenasa,Jenangan,11800000
201,201/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104772/empty,Makmur,Karangwaluh,13275000
202,202/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104774/empty,Margo Mulyo,Kunti,16225000
203,203/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104776/empty,Tani Makmur,Nglurup,14750000
204,204/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104778/empty,Pager Gumolong,Pagerukir,13275000
205,205/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104781/empty,Rukun Makmur,Pohijo,19175000
206,206/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104782/empty,Tani Mukti,Ringinputih,7375000
207,207/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104784/empty,Tani Lestari,Sampung,17700000
208,208/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104786/empty,Margo Mulyo,Tulung,16225000
209,209/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104788/empty,Bondrang Makmur,Bondrang,8555000
210,210/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104790/empty,Maju Terus,Grogol,31860000
211,211/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104792/empty,Tri Mulya,Ketro,6195000
212,212/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104794/empty,Tri Manunggal,Kori,10325000
213,213/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104796/empty,Tani Luhur,Ngindeng,12980000
214,214/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104798/empty,Manunggal Jaya,Pangkal,33925000
215,215/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104800/empty,Jaya Makmur,Prayungan,11800000
216,216/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104802/empty,Sunan Kumbul,Sawoo,29205000
217,217/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104804/empty,Panggah Tani,Sriti,14750000
218,218/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104806/empty,Bayangkaki Makmur,Temon,29500000
219,219/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104808/empty,Lestari Makmur,Tempuran,4425000
220,220/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104810/empty,Dwi Makmur,Tugurejo,6195000
221,221/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104812/empty,Rukun Tani,Tumpak Pelem,18585000
222,222/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104814/empty,Rukun Tani,Tumpuk,10325000
223,223/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104816/empty,Maju Makmur,Beton,12390000
224,224/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104818/empty,Margo Rukun,Brahu,7080000
225,225/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104820/empty,Demang Jaya,Demangan,10325000
226,226/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104822/empty,Sido Makmur,Jarak,8260000
227,227/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104825/empty,Manteb Abadi,Kepuhrubuh,3540000
228,228/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104826/empty,Sari Makmur,Madusari,6195000
229,229/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104828/empty,Kusumo Dani,Mangunsuman,7080000
230,230/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104830/empty,Rukun Makmur,Manuk,8850000
231,231/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104832/empty,Berkah Tani,Ngabar,8260000
232,232/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104834/empty,Gotama Mandiri,Patihan Kidul,5310000
233,233/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104836/empty,Sumber Tani,Pijeran,10620000
234,234/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104838/empty,Sido Mulyo,Ronosentanan,5310000
235,235/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104840/empty,Wijaya,Ronowijayan,3540000
236,236/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104842/empty,Maju Bareng,Sawuh,3540000
237,237/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104844/empty,Enggal Jaya Makmur,Sekaran,5310000
238,238/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104846/empty,Budi Luhur,Siman,8850000
239,239/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104848/empty,Tri Tunggal Makmur,Tajug,5310000
240,240/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104850/empty,Tani Makmur,Tranjang,4130000
241,241/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104852/empty,Subur Makmur,Broto,14160000
