no,no_bam,situs,poktan,desa,bast
106,564,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104946/empty,Sada Nioga,Lau Pakam,6490000
107,565,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104947/empty,Ola Kisat,Lau Pakam,6490000
108,566,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104948/empty,Maju Tani,Lau Pakam,7965000
109,567,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104949/empty,Dosniroha,Lau Pakam,6490000
110,568,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104950/empty,Baluren Bagas,Lau Pakam,6490000
111,569,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104951/empty,Saroha,Lau Pakam,7965000
112,570,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104952/empty,Nusantara,Lau Pakam,8555000
113,571,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104953/empty,Putra Tani,Lau Pakam,7670000
114,572,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104954/empty,Pasar Tonga,Lau Pakam,5900000
115,573,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104955/empty,Mandiri,Mardingding,7080000
116,574,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104956/empty,Simulih Karaben,Mardingding,6195000
117,575,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104957/empty,Silegin Ukur,Mardingding,5605000
118,576,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104958/empty,Kelengna,Mardingding,5900000
119,577,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104959/empty,Cinta Ibu,Mardingding,6195000
120,578,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104960/empty,Sada Arih,Mardingding,5605000
121,579,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104961/empty,Swakarya,Mardingding,7080000
122,580,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104962/empty,Serba Guna,Mardingding,6195000
123,581,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104963/empty,Kekelengenta Ras,Mardingding,5605000
124,582,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104964/empty,Tunas Muda,Mardingding,5605000
125,583,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104965/empty,Mamre B,Mardingding,5015000
126,584,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104966/empty,Mangga Dua,Mardingding,5310000
127,585,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104967/empty,Tambar Malem A,Mardingding,6490000
128,586,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104968/empty,KBG RK,Mardingding,7670000
129,587,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104969/empty,Karoni,Mardingding,6490000
130,588,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104970/empty,Sejahtera,Mardingding,5900000
131,589,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104971/empty,Tambar Malem B,Mardingding,5900000
132,590,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104972/empty,Paya Kelambue,Mardingding,5015000
133,591,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104973/empty,Soala Gogo,Mardingding,5605000
134,592,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104974/empty,Panggong Budan,Mardingding,5605000
135,593,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104975/empty,Lau Tualang Simalem,Mardingding,5605000
136,594,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104976/empty,Ajar Bancina,Mardingding,6195000
137,595,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104977/empty,Sini Suka,Mardingding,5605000
138,596,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104978/empty,Batu Mamak,Mardingding,4720000
139,597,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104979/empty,Suka Bersama,Mardingding,7965000
140,598,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104980/empty,Sada Nioga,Mardingding,6195000
141,599,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104981/empty,Kembar Jaya,Mardingding,5605000
142,600,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104982/empty,Harapan Bersama,Mardingding,5605000
143,601,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104983/empty,Milala Jaya,Mardingding,5900000
144,602,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104984/empty,Bunga Ncole,Mardingding,5605000
145,603,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104985/empty,Sibiak Keluarga,Mardingding,5900000
146,604,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104986/empty,Saymara,Mardingding,7080000
147,605,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104987/empty,Bunda,Mardingding,5015000
148,606,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104988/empty,Sejalan,Mardingding,7080000
