no,No,situs,poktan,desa,bast
95,373,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104503/empty,Tani Mulyo I,Karang,5015000
96,374,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104505/empty,Tani Mulyo II,Karang,5310000
97,375,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104507/empty,Tani Mulyo III,Karang,6785000
98,376,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104509/empty,Ngudi Mulyo I,Segaran,8260000
99,377,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104511/empty,Ngudi Mulyo II,Segaran,7375000
100,378,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104513/empty,Ngudi Makmur I,Delanggu,12095000
101,379,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104515/empty,Ngudi Makmur II,Delanggu,7375000
102,380,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104517/empty,Tani Makmur I,Kepanjen,4130000
103,381,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104519/empty,Tani Makmur II,Kepanjen,5605000
104,382,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104521/empty,Tani Makmur III,Kepanjen,6490000
105,383,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104523/empty,Ngudi Makmur I,Butuhan,5900000
106,384,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104525/empty,Ngudi Makmur II,Butuhan,7080000
107,385,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104527/empty,Tani Makmur I,Jetis,6785000
108,386,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104530/empty,Tani Makmur II,Jetis,7670000
109,387,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104532/empty,Tani Makmur III,Jetis,6195000
110,388,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104534/empty,Margo Mulyo I,Gatak,6195000
111,389,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104537/empty,Margo Mulyo II,Gatak,6490000
112,390,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104539/empty,Margo Mulyo III,Gatak,6195000
113,391,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104541/empty,Margo Subur,Pesu,8850000
114,392,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104543/empty,Dadi Subur,Pesu,11800000
115,393,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104545/empty,Gemah Ripah,Dengkeng,22125000
116,394,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104548/empty,Rukun Tani,Tanjungan,20650000
117,395,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104550/empty,Sido Makmur,Pasung,26550000
118,396,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104552/empty,Maju Lancar,Brangkal,26550000
119,397,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104554/empty,Ngudi Makmur,Pacing,19175000
120,398,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104556/empty,Tani Santosa,Kadilanggon,20650000
121,399,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104558/empty,Tani Kaligayam,Kaligayam,17700000
122,400,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104560/empty,Bangun Tani I,Melikan,10325000
123,401,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104562/empty,Bangun Tani II,Melikan,11800000
124,402,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104564/empty,Tani Mekarsari,Jiwowetan,20650000
125,403,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104566/empty,Eka Tunggal,Kadibolo,17700000
126,404,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104568/empty,Karya Tunggal,Kadibolo,8850000
127,405,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104570/empty,Mardi Rahayu,Trotok,11800000
128,406,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104572/empty,Ngudi Rahayu,Trotok,11800000
129,407,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104574/empty,Margo Mulyo,Sembung,11800000
130,408,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104576/empty,Sido Makmur,Sukorejo,13275000
131,409,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104578/empty,Tani Makmur,Sukorejo,10325000
132,410,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104580/empty,Sri Makmur,Birit,14750000
133,411,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104582/empty,Ngudi Makmur,Pandes,20650000
