no,image,situs,poktan,desa,bast,total,tanggal,ongkir
90,548/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104930/empty,Anugrah,Lau Pakam,5900000,6620000,07-11-2023,720000
91,549/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104931/empty,Cahaya,Lau Pakam,6490000,7282000,07-11-2023,792000
92,550/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104932/empty,Cinta Maju,Lau Pakam,7080000,7944000,07-11-2023,864000
93,551/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104933/empty,Gali Masuk,Lau Pakam,5310000,5958000,07-11-2023,648000
94,552/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104934/empty,Tani Pusaka,Lau Pakam,6195000,6951000,07-11-2023,756000
95,553/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104935/empty,Supra Tani,Lau Pakam,8850000,9930000,07-11-2023,1080000
96,554/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104936/empty,Kuta Nari,Lau Pakam,5900000,6620000,07-11-2023,720000
97,555/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104937/empty,Lam Ulina,Lau Pakam,5310000,5958000,07-11-2023,648000
98,556/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104938/empty,Maju,Lau Pakam,5900000,6620000,07-11-2023,720000
99,557/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104939/empty,Jaya,Lau Pakam,6785000,7613000,07-11-2023,828000
100,558/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104940/empty,Intensif,Lau Pakam,6785000,7613000,07-11-2023,828000
101,559/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104941/empty,Janji Matogu,Lau Pakam,7965000,8937000,07-11-2023,972000
102,560/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104942/empty,Arih Ersada,Lau Pakam,7080000,7944000,07-11-2023,864000
103,561/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104943/empty,Suara Tani,Lau Pakam,8555000,9599000,07-11-2023,1044000
104,562/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104944/empty,Subur Tani,Lau Pakam,7375000,8275000,07-11-2023,900000
105,563/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104945/empty,Sisampat-Sampaten,Lau Pakam,7375000,8275000,07-11-2023,900000
