no,no_bam,situs,poktan,desa
108,108/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79345/empty,Rante,Buntu Burake
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79346/empty,Sangkutu Banne,Buntu Burake
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79347/empty,Situlak Lulangngan,Buntu Burake
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79348/empty,Lempangan,Lamunan
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79349/empty,Palipu,Lamunan
113,113/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79350/empty,Palli Permai,Lamunan
114,114/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79351/empty,Pama Sipaloloan,Lamunan
115,115/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79352/empty,Tanete,Lamunan
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79353/empty,Tedong Batu,Lamunan
117,117/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79354/empty,Tongka Ka,Lamunan
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79355/empty,Tunas Jaya,Lamunan
119,119/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79356/empty,Melati,Ariang
120,120/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79357/empty,Siangkaran,Ariang
121,121/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79358/empty,Sikamali,Ariang
122,122/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79359/empty,Siporannu,Ariang
123,123/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79360/empty,Sitiroanan,Ariang
124,124/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79361/empty,Sumandidi,Ariang
125,125/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79362/empty,Dendo,Botang
126,126/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79363/empty,Lika,Botang
127,127/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79364/empty,Rante Botang,Botang
128,128/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79365/empty,Tarra Botang,Botang
129,129/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79366/empty,Marendeng Malia,Botang
