no,no_bam,situs,poktan,desa
155,155/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92013/empty,Cita Tani 1,Kalimas
156,156/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92014/empty,Sido Dadi,Gongseng
157,157/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92015/empty,Tani Makmur Jaya,Tanahbaya
158,158/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92016/empty,Mekarsari II,Karangmoncol
159,159/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92017/empty,Sido Dadi,Kecepit
160,160/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92018/empty,Sri Karya V,Kalitorong
161,161/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92019/empty,Maju Jaya Makmur,Pegongsoran
162,162/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92020/empty,Panca Karya,Banjarmulya
163,163/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92021/empty,Madya Utama,Banjarmulya
164,164/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92022/empty,Karya Bakti,Banjarmulya
165,165/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92023/empty,Mekar Tani,Saradan
166,166/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92024/empty,Mekar Jaya,Saradan
167,167/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92025/empty,Mekar Sari,Saradan
168,168/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92026/empty,Permatan I,Sungapan
169,169/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92027/empty,Permatan II,Sungapan
170,170/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92028/empty,Praktis,Pegongsoran
171,171/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92029/empty,Tani Utama,Paduraksa
172,172/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92030/empty,Margi Ikhlas,Kebondalem
173,173/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92031/empty,Ngudi Makmur,Mengori
174,174/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92032/empty,Pertama,Sewaka
175,175/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92033/empty,Akur,Sewaka
176,176/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92034/empty,Praktis,Sewaka
177,177/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92035/empty,Tulus,Sewaka
178,178/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92036/empty,Makaryo,Banjarmulya
179,179/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92037/empty,Sumber Mulya II,Banjarmulya
180,180/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92038/empty,Tani Mulyo,Mulyoharjo
181,181/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92039/empty,Tani Unggul,Widodaren
182,182/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92040/empty,Tani Widodo,Widodaren
183,183/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92041/empty,Tani Teguh,Widodaren
184,184/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92042/empty,Tani Jaya,Karangasem
185,185/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92043/empty,Tani Makmur A,Kendalsari
186,186/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92044/empty,Tani Makmur B,Kendalsari
187,187/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92045/empty,Tani Makmur C,Kendalsari
188,188/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92046/empty,Tani Makmur D,Kendalsari
189,189/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92047/empty,Sido Makmur,Serang
190,190/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92048/empty,Penanggoan,Serang
191,191/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92049/empty,Sri Rejeki,Serang
192,192/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92050/empty,Penanggoan 2,Serang
193,193/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92051/empty,Karya Tani,Sirangkang
194,194/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92052/empty,Sumber Rejeki,Sirangkang
195,195/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92053/empty,Sumber Makmur,Sirangkang
196,196/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92054/empty,Dewi Sri,Petarukan
197,197/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92055/empty,Jati Sari,Petarukan
198,198/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92056/empty,Parikesit,Petarukan
199,199/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92057/empty,Seneng Maju,Petarukan
200,200/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92058/empty,Karya Tani,Iser
201,201/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92059/empty,Sidodadi,Iser
