no,no,situs,poktan,desa,bast,file,ongkir
80,433/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79317/empty,Kosan,Lapandan,2950000,433.pdf,360000
81,434/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79318/empty,Salu Tallu,Lapandan,2950000,434.pdf,360000
82,435/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79319/empty,Salu Sitammu,Lapandan,4425000,435.pdf,540000
83,436/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79320/empty,Tiropadang,Lapandan,2950000,436.pdf,360000
84,437/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79321/empty,Tanete Lestari,Lapandan,2950000,437.pdf,360000
85,438/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79322/empty,Kamali,Kamali Pentalluan,2950000,438.pdf,360000
86,439/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79323/empty,Milan,Kamali Pentalluan,2950000,439.pdf,360000
87,440/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79324/empty,Maju Bersama,Kamali Pentalluan,1475000,440.pdf,180000
88,441/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79325/empty,To'Ao,Kamali Pentalluan,1475000,441.pdf,180000
89,442/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79326/empty,Sanginaa,Tampo Makale,1475000,442.pdf,180000
90,443/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79327/empty,Bina Akrab,Tampo Makale,2950000,443.pdf,360000
91,444/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79328/empty,Usaha Agrobisnis Siguntu,Tampo Makale,1475000,444.pdf,180000
92,445/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79329/empty,Usaha Terpadu Tampo,Tampo Makale,1475000,445.pdf,180000
93,446/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79330/empty,Rante Tampo,Tampo Makale,2950000,446.pdf,360000
94,447/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79331/empty,Banne Marendeng,Tondon Mamullu,2950000,447.pdf,360000
95,448/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79332/empty,Ketapang,Tondon Mamullu,1475000,448.pdf,180000
96,449/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79333/empty,KWT Batu Bungga,Lea,1475000,449.pdf,180000
97,450/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79334/empty,KWT Birop,Lea,1475000,450.pdf,180000
98,451/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79335/empty,KWT Rante Situru,Lea,1475000,451.pdf,180000
99,452/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79336/empty,KWT Sikamali Babangan,Lea,1475000,452.pdf,180000
100,453/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79337/empty,Lea Raya,Lea,1475000,453.pdf,180000
101,454/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79338/empty,Rotani,Lea,1475000,454.pdf,180000
102,455/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79339/empty,Siangkaran,Lea,1475000,455.pdf,180000
103,456/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79340/empty,Situru Rante,Lea,1475000,456.pdf,180000
104,457/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79341/empty,Suka Maju,Lea,1475000,457.pdf,180000
105,458/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79342/empty,Taruna Tani,Lea,1475000,458.pdf,180000
106,459/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79343/empty,Kali Sosso Burake,Buntu Burake,1475000,459.pdf,180000
107,460/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79344/empty,Limbong,Buntu Burake,1475000,460.pdf,180000
108,461/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79345/empty,Rante,Buntu Burake,1475000,461.pdf,180000
109,462/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79346/empty,Sangkutu Banne,Buntu Burake,1475000,462.pdf,180000
110,463/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79347/empty,Situlak Lulangngan,Buntu Burake,1475000,463.pdf,180000
111,464/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79348/empty,Lempangan,Lamunan,2950000,464.pdf,360000
112,465/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79349/empty,Palipu,Lamunan,2950000,465.pdf,360000
113,466/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79350/empty,Palli Permai,Lamunan,2950000,466.pdf,360000
114,467/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79351/empty,Pama Sipaloloan,Lamunan,1475000,467.pdf,180000
115,468/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79352/empty,Tanete,Lamunan,2950000,468.pdf,360000
116,469/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79353/empty,Tedong Batu,Lamunan,2950000,469.pdf,360000
117,470/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79354/empty,Tongka Ka,Lamunan,2950000,470.pdf,360000
118,471/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79355/empty,Tunas Jaya,Lamunan,2950000,471.pdf,360000
119,472/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79356/empty,Melati,Ariang,1475000,472.pdf,180000
120,473/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79357/empty,Siangkaran,Ariang,1475000,473.pdf,180000
121,474/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79358/empty,Sikamali,Ariang,1475000,474.pdf,180000
122,475/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79359/empty,Siporannu,Ariang,1475000,475.pdf,180000
123,476/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79360/empty,Sitiroanan,Ariang,1475000,476.pdf,180000
124,477/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79361/empty,Sumandidi,Ariang,2950000,477.pdf,360000
125,478/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79362/empty,Dendo,Botang,885000,478.pdf,108000
126,479/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79363/empty,Lika,Botang,885000,479.pdf,108000
127,480/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79364/empty,Rante Botang,Botang,885000,480.pdf,108000
128,481/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79365/empty,Tarra Botang,Botang,885000,481.pdf,108000
129,482/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79366/empty,Marendeng Malia,Botang,2950000,482.pdf,360000
130,483/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79367/empty,Bendan Siangkaran,Manggau,2950000,483.pdf,360000
131,484/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79368/empty,Duayan Situru,Manggau,2950000,484.pdf,360000
132,485/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79369/empty,KWT Lestari Manggau,Manggau,1475000,485.pdf,180000
133,486/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79370/empty,Parita Pangle,Manggau,2950000,486.pdf,360000
134,487/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79371/empty,Tuan Palangka,Manggau,1475000,487.pdf,180000
135,488/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79372/empty,Borong,Tarongko,1475000,488.pdf,180000
136,489/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79373/empty,Buntu Tarongko,Tarongko,2950000,489.pdf,360000
137,490/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79374/empty,Gurun Cinta Maju,Tarongko,2950000,490.pdf,360000
138,491/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79375/empty,Lestari,Tarongko,5310000,491.pdf,648000
139,492/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79376/empty,Pekaung,Tarongko,1475000,492.pdf,180000
140,493/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79377/empty,Rante Tarongko,Tarongko,1475000,493.pdf,180000
141,494/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79378/empty,Sangkutu Banne,Tarongko,4720000,494.pdf,576000
142,495/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79379/empty,Siallo,Tarongko,1475000,495.pdf,180000
