no,image,situs,poktan,desa,bast,bast_file
475,1943,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81372/empty,Rahmat Jaya,Upang Ceria,5900000,1943
476,1944,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81373/empty,Panca Mukti,Upang Ceria,20650000,1944
477,1945,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81375/empty,Mulya Tani,Upang Ceria,5900000,1945
478,1946,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81376/empty,Mekar Jaya,Upang Ceria,5900000,1946
479,1947,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81377/empty,Maju Bersama,Upang Ceria,5900000,1947
480,1948,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81378/empty,Maju Bersama Tani,Upang Ceria,5900000,1948
481,1949,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81379/empty,Karya Tani,Upang Ceria,5900000,1949
482,1950,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81380/empty,Karya Jaya Agung,Upang Ceria,11800000,1950
483,1951,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81382/empty,Karya Bersama,Upang Ceria,8850000,1951
484,1952,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81383/empty,Harapan Mulyo,Upang Ceria,5900000,1952
485,1953,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81384/empty,Harapan Jaya,Upang Ceria,8850000,1953
486,1954,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81386/empty,Cemara Jaya,Upang Ceria,5900000,1954
487,1955,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81387/empty,Cahaya Tani,Upang Ceria,8850000,1955
488,1956,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81388/empty,Bumi Adem Ayem,Upang Ceria,5900000,1956
489,1957,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81390/empty,Bintang Timur,Upang Ceria,11800000,1957
490,1958,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81391/empty,Berkat Tani,Upang Ceria,7670000,1958
491,1959,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81392/empty,Berkat Jaya,Upang Ceria,5900000,1959
492,1960,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81394/empty,Family Jaya,Upang Ceria,5900000,1960
493,1961,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81395/empty,Sri Rejeki,Damar Wulan,17700000,1961
494,1962,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81396/empty,Tani Maju A,Damar Wulan,19175000,1962
495,1963,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81397/empty,Margo Rukun 3,Damar Wulan,18585000,1963
496,1964,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81399/empty,Tani Maju B,Damar Wulan,15930000,1964
497,1965,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81400/empty,Sendang Makmur,Damar Wulan,15635000,1965
498,1966,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81401/empty,Margo Rukun 6,Damar Wulan,15635000,1966
499,1967,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81402/empty,Karya Bakti,Damar Wulan,18880000,1967
500,1968,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81404/empty,Margo Utomo,Damar Wulan,17405000,1968
501,1969,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81405/empty,Mekar Sari,Damar Wulan,19470000,1969
502,1970,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81406/empty,Anur Tegal Rejo,Damar Wulan,41300000,1970
503,1971,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81408/empty,Bersatu Padu,Air Solok Batu,23600000,1971
504,1972,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81409/empty,Bone Jaya,Air Solok Batu,23600000,1972
505,1973,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81410/empty,Karya Jaya,Air Solok Batu,23600000,1973
506,1974,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81411/empty,Karya Mulia,Air Solok Batu,23600000,1974
507,1975,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81413/empty,Karya Utama,Air Solok Batu,23600000,1975
