no,no_bam,situs,poktan,desa,bast
131,131/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88713/empty,Semusim,Pangaribuan,5900000
132,132/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88714/empty,Tani Jaya,Pangaribuan,7375000
133,133/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88716/empty,Kwt Satahi,Pangaribuan,5900000
134,134/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88717/empty,Menanti,Pangaribuan,7080000
135,135/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88718/empty,Kwt Cempaka,Sori Manaon,8260000
136,136/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88719/empty,Kwt Mawar,Sori Manaon,7375000
137,137/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88720/empty,Kwt Anggrek,Sori Manaon,7375000
138,138/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88721/empty,Maju Bersama,Sori Manaon,7375000
139,139/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88722/empty,Bukti II,Sori Manaon,7375000
140,140/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88723/empty,Suka Jaya,Sori Manaon,7375000
141,141/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88724/empty,Kwt Sejahtera,Tatengger,3540000
142,142/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88725/empty,Oriza I,Tatengger,3835000
143,143/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88728/empty,Satahi,Tatengger,3540000
144,144/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88729/empty,Maju Berkarya,Tatengger,3245000
145,145/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88731/empty,Oriza II,Tatengger,2950000
146,146/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88732/empty,Harapan,Tatengger,2950000
147,147/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88733/empty,Satahi,Huta Pardomuan,4425000
148,148/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88735/empty,Unggul Farm,Huta Pardomuan,4425000
149,149/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88736/empty,Mitra,Huta Pardomuan,4425000
150,150/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88737/empty,Kwt Mawar,Huta Pardomuan,4425000
151,151/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88738/empty,Paya Bolak,Huta Pardomuan,4425000
152,152/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88739/empty,Sinar Jaya,Huta Pardomuan,4425000
153,153/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88740/empty,Kwt Sarasi,Somanggal Parmonangan,4425000
154,154/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88741/empty,Mandiri,Somanggal Parmonangan,4425000
155,155/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88742/empty,Saroha,Somanggal Parmonangan,5900000
156,156/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88743/empty,Cabe,Somanggal Parmonangan,5900000
157,157/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88745/empty,Sepakat,Somanggal Parmonangan,4425000
158,158/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88747/empty,Surya,Aek Badak Jae,3540000
159,159/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88748/empty,Baringin Jaya,Aek Badak Jae,2950000
160,160/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88749/empty,Kwt Subur,Aek Badak Jae,3245000
161,161/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88751/empty,Marrosu,Aek Badak Jae,4425000
162,162/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88752/empty,Subur,Aek Badak Jae,4425000
163,163/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88754/empty,Nurhasanah,Aek Badak Jae,5015000
