no,No,situs,poktan,desa,bast,bast_file,total
115,1583,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80927/empty,Rukun Tani 1,Upang Makmur,24485000,1583,27473000
116,1584,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80928/empty,Rukun Tani 2,Upang Makmur,14602500,1584,16384500
117,1585,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80929/empty,Bausaka,Muara Baru,11800000,1585,13240000
118,1586,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80930/empty,Mekar Jaya,Muara Baru,14750000,1586,16550000
119,1587,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80932/empty,Bina Karya,Muara Baru,14750000,1587,16550000
120,1588,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80933/empty,Manunggal Tani,Muara Baru,14750000,1588,16550000
121,1589,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80934/empty,Akper Jaya,Muara Baru,14750000,1589,16550000
122,1590,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80935/empty,Jambu Sari 2,Muara Baru,11800000,1590,13240000
123,1591,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80936/empty,Makmur,Muara Baru,15340000,1591,17212000
124,1592,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80938/empty,Karya Harapan,Muara Baru,14750000,1592,16550000
125,1593,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80939/empty,Cahaya Tani,Muara Baru,13865000,1593,15557000
126,1594,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80940/empty,Sumber Makmur,Muara Baru,14750000,1594,16550000
127,1595,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80941/empty,Muara Makmur,Muara Baru,14750000,1595,16550000
128,1596,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80942/empty,Cahaya Makmur,Muara Baru,14750000,1596,16550000
129,1597,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80943/empty,Bone Jaya,Muara Baru,11800000,1597,13240000
130,1598,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80945/empty,Harapan Baru,Muara Baru,14750000,1598,16550000
131,1599,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80946/empty,Tani Harapan,Muara Baru,14750000,1599,16550000
132,1600,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80947/empty,Tani Jaya,Muara Baru,14750000,1600,16550000
133,1601,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80948/empty,Suka Damai 1,Upang Mulya,14750000,1601,16550000
134,1602,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80949/empty,Suka Damai 2,Upang Mulya,14750000,1602,16550000
135,1603,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80951/empty,Usaha Mulya 1,Upang Mulya,11800000,1603,13240000
136,1604,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80952/empty,Usaha Mulya 2,Upang Mulya,14750000,1604,16550000
137,1605,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80953/empty,Rasa Mulya 1,Upang Mulya,8850000,1605,9930000
138,1606,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80954/empty,Rasa Mulya 2,Upang Mulya,11210000,1606,12578000
139,1607,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80955/empty,Cahaya Bone 1,Upang Mulya,14750000,1607,16550000
140,1608,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80956/empty,Cahaya Bone 2,Upang Mulya,14750000,1608,16550000
141,1609,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80957/empty,Setia Maju 1,Upang Mulya,14750000,1609,16550000
142,1610,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80958/empty,Setia Maju 2,Upang Mulya,14750000,1610,16550000
143,1611,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80959/empty,Nusantara,Upang Mulya,14750000,1611,16550000
144,1612,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80961/empty,Sumber Mulya,Upang Mulya,14750000,1612,16550000
145,1613,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80962/empty,Do'A Suci,Upang Mulya,14750000,1613,16550000
146,1614,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80963/empty,Karya Tani 1,Upang Mulya,14750000,1614,16550000
147,1615,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80964/empty,Karya Tani 2,Upang Mulya,14750000,1615,16550000
148,1616,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80965/empty,Karya Jaya,Upang Mulya,14750000,1616,16550000
149,1617,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80968/empty,Tani Subur,Upang Mulya,14750000,1617,16550000
150,1618,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80969/empty,Sederhana,Upang Mulya,11800000,1618,13240000
151,1619,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80970/empty,Cahaya Baru 1,Upang Mulya,11800000,1619,13240000
152,1620,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80971/empty,Cahaya Baru 2,Upang Mulya,11800000,1620,13240000
153,1621,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80972/empty,Tunas Muda,Upang Mulya,11800000,1621,13240000
154,1622,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80974/empty,Tani Jaya,Upang Mulya,14750000,1622,16550000
155,1623,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80977/empty,Tani Mulya 2,Upang Mulya,22420000,1623,25156000
156,1624,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80978/empty,Bunga Tani 1,Upang Mulya,22125000,1624,24825000
157,1625,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80979/empty,Sambung Rasa 1,Upang Mulya,14750000,1625,16550000
158,1626,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80982/empty,Sambung Rasa 2,Upang Mulya,14750000,1626,16550000
159,1627,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80983/empty,Tani Mulya 1,Upang Mulya,22125000,1627,24825000
160,1628,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80986/empty,Sei Kelumpang,Upang Mulya,14750000,1628,16550000
161,1629,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80987/empty,Srikandi,Upang Mulya,20650000,1629,23170000
162,1630,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80988/empty,Bone Makmur,Upang Mulya,14160000,1630,15888000
163,1631,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80989/empty,Tani Makmur,Upang Mulya,11210000,1631,12578000
164,1632,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80990/empty,Suka Tani Jaya 1,Karang Baru,8260000,1632,9268000
165,1633,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80992/empty,Suka Tani Jaya II,Karang Baru,7965000,1633,8937000
166,1634,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80993/empty,Multi Wahana,Karang Baru,9735000,1634,10923000
167,1635,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80995/empty,Bina Karya,Karang Baru,10325000,1635,11585000
168,1636,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80998/empty,Cahaya Baru,Karang Baru,7965000,1636,8937000
169,1637,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80999/empty,Tiga Serangkai,Karang Baru,9735000,1637,10923000
170,1638,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81000/empty,Tunas Harapan A,Karang Baru,9145000,1638,10261000
171,1639,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81002/empty,Tunas Harapan B,Karang Baru,12095000,1639,13571000
172,1640,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81004/empty,Sungai Bacang A,Karang Baru,10325000,1640,11585000
173,1641,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81006/empty,Sungai Bacang B,Karang Baru,5310000,1641,5958000
174,1642,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81008/empty,Mutiara A,Karang Baru,7965000,1642,8937000
175,1643,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81009/empty,Mutiara B,Karang Baru,8555000,1643,9599000
176,1644,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81012/empty,Setia Tani,Karang Baru,9735000,1644,10923000
177,1645,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81013/empty,Tunas Baru,Karang Baru,5900000,1645,6620000
178,1646,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81014/empty,Usaha Baru,Karang Baru,12390000,1646,13902000
179,1647,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81016/empty,Jaya Makmur A,Karang Baru,11800000,1647,13240000
180,1648,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81018/empty,Jaya Makmur B,Karang Baru,8260000,1648,9268000
181,1649,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81019/empty,Harapan Bersama A,Karang Baru,12685000,1649,14233000
182,1650,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81020/empty,Harapan Bersama B,Karang Baru,9735000,1650,10923000
183,1651,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81021/empty,Pendowo Limo 1,Karang Baru,10620000,1651,11916000
184,1652,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81024/empty,Pendowo Limo 2,Karang Baru,7670000,1652,8606000
185,1653,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81025/empty,Sinar Jaya A,Karang Baru,10620000,1653,11916000
186,1654,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81026/empty,Aneka Karya,Karang Baru,14455000,1654,16219000
187,1655,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81027/empty,Karya Tani,Karang Baru,11210000,1655,12578000
188,1656,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81029/empty,Sri Tanjung A,Karang Baru,11800000,1656,13240000
189,1657,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81030/empty,Sri Tanjung B,Karang Baru,10030000,1657,11254000
190,1658,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81033/empty,Putra Tani,Karang Baru,12095000,1658,13571000
191,1659,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81035/empty,Sungai Rengas,Karang Baru,12980000,1659,14564000
192,1660,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81036/empty,Sari Kembang,Karang Baru,11505000,1660,12909000
193,1661,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81037/empty,Bintang Tujuh B,Karang Baru,11505000,1661,12909000
194,1662,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81039/empty,Suka Jadi A,Karang Baru,9735000,1662,10923000
195,1663,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81042/empty,Haji Asik,Karang Baru,13275000,1663,14895000
196,1664,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81043/empty,Setia Jadi,Karang Baru,10620000,1664,11916000
197,1665,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81044/empty,Sugi Waras,Karang Baru,12685000,1665,14233000
198,1666,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81045/empty,Parit Dung,Karang Baru,6195000,1666,6951000
199,1667,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81047/empty,Pulun Maju,Karang Baru,8555000,1667,9599000
