no,No,situs,poktan,desa,bast
149,2780,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90723/empty,Sri Lestari 1,Kalisabuk,5900000
150,2781,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90724/empty,Sri Lestari 2,Kalisabuk,5900000
151,2782,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90725/empty,Sri Waluyo,Jangrana,8850000
152,2783,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90726/empty,Al Barokah,Menganti,5900000
153,2784,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90727/empty,Sri Rejeki,Menganti,5900000
154,2785,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90728/empty,Ngudi Jaya,Menganti,5900000
155,2786,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90729/empty,Sumber Rejeki,Menganti,5900000
156,2787,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90730/empty,Handayani,Menganti,5900000
157,2788,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90731/empty,Makmur Jaya,Menganti,5900000
158,2789,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90732/empty,Usaha Makmur,Menganti,5900000
159,2790,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90733/empty,Sri Rahayu,Kuripan Kidul,7375000
160,2791,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90734/empty,Ngesti Roas,Kuripan Kidul,8850000
161,2792,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90735/empty,Trubus  Jaya,Kuripan Kidul,5900000
162,2793,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90736/empty,Sida Mulya,Kuripan Kidul,7375000
163,2794,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90737/empty,Rukun Santosa,Kuripan Kidul,2950000
164,2795,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90739/empty,Campursari,Kuripan Kidul,2950000
165,2796,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90740/empty,Sri Kebukan Jaya,Bulupayung,7375000
166,2797,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90741/empty,Sri Rawaduren Jaya,Bulupayung,5900000
167,2798,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90742/empty,Sri Bendung Makmur,Bulupayung,6490000
168,2799,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90743/empty,Sri Pasanggiri Muncul,Bulupayung,7375000
169,2800,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90744/empty,Bima Sakti,Karangjengkol,10030000
170,2801,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90745/empty,Armada,Karangjengkol,10620000
171,2802,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90747/empty,Ciputri,Karangjengkol,9440000
172,2803,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90748/empty,Sri Rejeki,Karangjengkol,10325000
173,2804,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90749/empty,Sidodadi,Karangjengkol,7670000
174,2805,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90750/empty,Bakti Makmur,Karangjengkol,11210000
175,2806,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90751/empty,Sidomaju,Karangjengkol,5015000
176,2807,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90752/empty,Sido Makmur,Karangjengkol,5900000
177,2808,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90753/empty,Makmur Tani,Pesanggrahan,5900000
178,2809,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90754/empty,Makmur Jaya,Pesanggrahan,9440000
179,2810,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90755/empty,Sri Rejeki,Pesanggrahan,5015000
180,2811,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90756/empty,Watu Agung,Pesanggrahan,2950000
181,2812,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90758/empty,Sumber Sari,Pesanggrahan,2950000
182,2813,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90759/empty,Harapan,Planjan,9440000
183,2814,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90760/empty,Utama,Planjan,4425000
184,2815,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90761/empty,Giat Tani,Planjan,5605000
185,2816,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90762/empty,Karya Makmur,Planjan,5900000
186,2817,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90763/empty,Karya Tani,Planjan,8260000
187,2818,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90764/empty,Tani Bakti,Planjan,5605000
188,2819,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90765/empty,Tani Maju,Planjan,5310000
189,2820,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90767/empty,Tani Jaya,Planjan,15340000
190,2821,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90768/empty,Mega Tani,Planjan,11210000
191,2822,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90769/empty,Sri Rejeki,Planjan,6490000
192,2823,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90770/empty,Guyup Rukun 1,Dondong,8850000
193,2824,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90771/empty,Rukun Tani,Dondong,8850000
194,2825,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90772/empty,Sri Mulya,Dondong,8850000
195,2826,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90773/empty,Sri Wisdadi,Dondong,8850000
196,2827,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90775/empty,Guyup Rukun 3,Dondong,8850000
197,2828,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90776/empty,Guyup Rukun 2,Dondong,8850000
198,2829,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90777/empty,Tani Maju,Dondong,8850000
199,2830,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90778/empty,Santoso,Dondong,8850000
200,2831,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90779/empty,Tri Wijaya,Kuripan,8850000
201,2832,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90780/empty,Sridadi,Kuripan,7375000
202,2833,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90781/empty,Sidodadi,Kuripan,6785000
203,2834,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90783/empty,Ngudi Dadi,Kuripan,5900000
204,2835,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90784/empty,Ngudi Lestari,Kuripan,7375000
205,2836,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90785/empty,Mekar Berkah,Kesugihan,8850000
206,2837,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90786/empty,Sidodadi,Kesugihan,8850000
207,2838,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90787/empty,Rukun Tani,Kesugihan,8850000
208,2839,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90788/empty,Sido Muncul,Kesugihan,8850000
209,2840,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90789/empty,Mekar Berkah II,Kesugihan,8850000
210,2841,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90790/empty,Sri Makmuri,Keleng,8850000
211,2842,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90791/empty,Sri Wisdadi,Keleng,8850000
212,2843,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90792/empty,Sawangan Jaya,Keleng,8850000
213,2844,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90793/empty,Sido Dadi,Cisumur,10325000
214,2845,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90794/empty,Karya Utama,Cisumur,8850000
215,2846,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90795/empty,Sido Makmur,Sidaurip,10325000
216,2847,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90796/empty,Brayan Urip,Sidaurip,10325000
217,2848,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90797/empty,Tani Mulyo,Layansari,5900000
218,2849,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90798/empty,Makmur Sejahtera,Layansari,5900000
219,2850,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90799/empty,Tani Jaya,Gandrungmangu,5900000
220,2851,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90800/empty,Tani Sembodo,Gandrungmangu,5900000
