no,no_bam,situs,poktan,desa,bast,bast_file,ongkir,tanggal
63,416/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79300/empty,Padang Leme,Randanan,5900000,416.jpg,720000,20-10-2023
64,417/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79301/empty,Malillin,Randanan,7375000,417.jpg,900000,20-10-2023
65,418/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79302/empty,Imanuel Pakambuan,Tengan,5900000,418.jpg,720000,20-10-2023
66,419/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79303/empty,Panada,Tengan,5900000,419.jpg,720000,20-10-2023
67,420/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79304/empty,Gema Tani,Marinding,2950000,420.jpg,360000,20-10-2023
68,421/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79305/empty,Pararra,Marinding,4425000,421.jpg,540000,20-10-2023
69,422/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79306/empty,Berkat Sangkutu,Marinding,4425000,422.jpg,540000,20-10-2023
70,423/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79307/empty,Tondon Siporannu,Marinding,5900000,423.jpg,720000,20-10-2023
71,424/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79308/empty,Maruang,Palipu,11800000,424.jpg,1440000,20-10-2023
72,425/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79309/empty,Rarukan Utara,Lemo,7375000,425.jpg,900000,20-10-2023
