no,nomor,situs,poktan,desa,bast
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91963/empty,Jati Makmur,Jatiroyom,10325000
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91964/empty,Sumber Makmur,Jatiroyom,14750000
107,107/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91965/empty,Tani Harapan,Jatiroyom,14750000
108,108/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91966/empty,Puri Indah,Bodeh,5900000
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91967/empty,Tani Mulyo,Bodeh,14750000
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91968/empty,Mukti Jaya,Jatingarang,13275000
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91969/empty,Tani Sadar,Kelangdepok,8850000
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91970/empty,Tani Mantep,Kelangdepok,8850000
113,113/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91971/empty,Lumayan,Kelangdepok,8850000
114,114/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91972/empty,Sri Rejeki,Muncang,7375000
115,115/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91973/empty,Lestari,Muncang,7375000
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91974/empty,Tani Dewi,Muncang,7375000
117,117/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91975/empty,Terang,Babakan,10325000
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91976/empty,Kismo Budaya,Longkeyang,17700000
119,119/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91977/empty,Sumber Makmur,Karangbrai,7375000
120,120/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91978/empty,Tulus Karya II,Kebandaran,7375000
121,121/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91979/empty,Gemah Ripah,Cangak,10325000
