2023-10-08 15:20:11,279 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Benua Raya, kelompok: Siam Saba
2023-10-08 15:20:16,481 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait, kelompok: Bunga Padi I
2023-10-08 15:20:21,721 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait, kelompok: Sido Mulyo
2023-10-08 15:20:27,206 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait, kelompok: Terang Bulan
2023-10-08 15:20:32,818 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait, kelompok: Barokah
2023-10-08 15:20:37,973 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait, kelompok: Tani Jaya
2023-10-08 15:20:43,594 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait, kelompok: Tunas Muda
2023-10-08 15:20:49,773 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Darat, kelompok: Suka Maju
2023-10-08 15:20:54,863 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Darat, kelompok: Alam Subur
2023-10-08 15:21:00,503 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Darat, kelompok: Karya Sentosa
2023-10-08 15:21:07,217 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Darat, kelompok: Karya Baru
2023-10-08 15:21:12,667 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Darat, kelompok: Harapan Sehat
2023-10-08 15:21:18,043 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Darat, kelompok: Danau Puyau Makmur
2023-10-08 15:21:23,150 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Darat, kelompok: Kencur
2023-10-08 15:21:28,306 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Darat, kelompok: Asahan Jaya
2023-10-08 15:21:33,447 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Ujung, kelompok: Al Hijrah
2023-10-08 15:21:39,055 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Ujung, kelompok: Teluk Marjaya
2023-10-08 15:21:45,654 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Ujung, kelompok: Ainul Yakin
2023-10-08 15:21:51,378 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Ujung, kelompok: Pulo Mas
2023-10-08 15:21:57,058 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Ujung, kelompok: Berkat Mufakat
2023-10-08 15:22:02,269 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Pandahan, kelompok: Muda Berkarya
2023-10-08 15:22:07,593 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Pandahan, kelompok: Tani Membangun
2023-10-08 15:22:13,034 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Batu Ampar, desa: Bluru, kelompok: Muda Tani
2023-10-08 15:22:17,943 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Batu Ampar, desa: Bluru, kelompok: Madu Sari
2023-10-08 15:22:22,968 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Atas, kelompok: Mandiri Sejahtera
2023-10-08 15:22:28,505 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Atas, kelompok: Karya Maju
2023-10-08 15:22:35,906 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Atas, kelompok: Putri Mayang
2023-10-08 15:22:42,769 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Atas, kelompok: Cinta Maju
2023-10-08 15:22:48,063 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Atas, kelompok: Siam Arjuna
2023-10-08 15:22:54,888 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Atas, kelompok: Mayang Maurai
